"Fighter","Elo","PeakElo","Matches"
"Jamie Mullarkey",984,1042,11
"Pete Rodriguez",984,1008,3
"William Knight",984,1000,7
"Bharat Kandare",984,1000,1
"Rafael Natal",984,1050,16
"Travis Lutter",984,1010,6
"Jeff Joslin",984,1000,1
"Armen Petrosyan",983,1000,7
"Drew Dober",983,1109,23
"Jessica-Rose Clark",983,1000,9
"Hunter Azure",983,1002,4
"Markus Perez",983,1006,7
"Tamdan McCrory",983,1000,9
"Tony Sims",983,1000,3
"Sarah Kaufman",983,1000,3
"Sam Stout",983,1028,20
"Ivan Jorge",983,1000,4
"Jon Manley",983,1000,1
"Kit Cope",983,1000,1
"Richard Crunkilton",983,1000,1
"Chris Haseman",983,1000,1
"Julian Marquez",982,1000,8
"Davey Grant",982,1124,13
"Omar Morales",982,1000,7
"Sabina Mazo",982,1014,7
"Jack Marshman",982,1000,8
"Nazareno Malegarie",982,1000,1
"Matt Hobar",982,1009,3
"Tina Lahdemaki",982,1000,1
"Riki Fukuda",982,1013,5
"Carlo Prater",982,1000,3
"Chris Tickle",982,1000,1
"Nick Pace",982,1000,3
"Rory Markham",982,1000,3
"Shannon Gugerty",982,1000,5
"David Baron",982,1000,1
"Marcelo Aguiar",982,1000,1
"Ozzy Diaz",981,1030,2
"Zachary Reese",981,1030,4
"Kron Gracie",981,1000,4
"Garrett Armfield",981,1020,5
"Khama Worthy",981,1000,5
"Christian Aguilera",981,1000,3
"Daichi Abe",981,1000,3
"Felipe Silva",981,1000,3
"Joe Merritt",981,1000,1
"Ryan Jimmo",981,1000,7
"Thiago Perpetuo",981,1000,3
"Eddie Ruiz",981,1000,1
"Tony Halme",981,1000,1
"Marcus Bossett",981,1000,3
"Gilbert Urbina",980,1007,3
"Leah Letson",980,1000,2
"Zviad Lazishvili",980,1000,1
"Lara Procopio",980,1000,3
"Jordan Rinaldi",980,1017,5
"Tyler Diamond",980,1000,1
"Felipe Olivieri",980,1000,1
"Katsunori Kikuno",980,1000,5
"Paulo Thiago",980,1000,13
"Justin Lawrence",980,1000,3
"Jake Hecht",980,1000,3
"Eric Schafer",980,1000,9
"Caol Uno",980,1010,8
"Rolando Delgado",980,1000,3
"Billy Miles",980,1000,1
"Darrel Gholar",980,1000,1
"Allan Goes",980,1000,1
"Danyelle Wolf",979,1000,1
"Isabela de Padua",979,1000,1
"Sheymon Moraes",979,1013,5
"Amanda Cooper",979,1001,6
"Cyril Asker",979,1009,5
"Erick Montano",979,1000,3
"Kenny Robertson",979,1062,9
"Chris Saunders",979,1000,1
"Floyd Sword",979,1000,1
"Nick Thompson",979,1000,2
"Chris Sanford",979,1000,1
"Alex Schoenauer",979,1000,1
"Vernon White",979,1000,1
"Fabio Gurgel",979,1000,1
"Thomas Ramirez",979,1000,1
"Minoki Ichihara",979,1000,1
"Igor Severino",978,1000,1
"Cole Smith",978,1000,3
"Tim Boetsch",978,1022,24
"Alex Gorgees",978,1000,1
"Tom Gallicchio",978,1000,1
"Leandro Issa",978,1037,5
"Shunichi Shimizu",978,1000,1
"James Hammortree",978,1000,1
"Matt Veach",978,1000,3
"Marcus Jones",978,1000,1
"Mike Whitehead",978,1000,1
"Homer Moore",978,1000,1
"Brad Kohler",978,1039,2
"Austin Lingo",977,1000,5
"Ashlee Evans-Smith",977,1000,9
"Shamil Abdurakhimov",977,1027,11
"Klidson Abreu",977,1000,3
"James Mulheron",977,1000,1
"Brandon Thatch",977,1000,6
"Jim Alers",977,1000,3
"Marcin Wrzosek",977,1000,1
"Akbarh Arreola",977,1012,4
"Chico Camus",977,1000,7
"Rocky Lee",977,1000,1
"John Cholish",977,1000,3
"Delson Heleno",977,1000,1
"Dan Barrera",977,1000,1
"Brian Geraghty",977,1000,1
"Rex Holman",977,1000,1
"Fabiano Iha",977,1071,7
"Joey Gilbert",977,1000,1
"Joao Roque",977,1000,1
"Jorge Patino",977,1000,1
"Ottman Azaitar",976,1000,5
"Mitch Raposo",976,1000,1
"Emily Ducote",976,1000,5
"Ben Saunders",976,1000,19
"Keita Nakamura",976,1071,11
"Adam Milstead",976,1000,3
"Stanislav Nedkov",976,1000,3
"Cody Donovan",976,1000,4
"Goran Reljic",976,1000,4
"Nissen Osterneck",976,1000,1
"Rameau Thierry Sokoudjou",976,1000,3
"Derrick Noble",976,1000,1
"Jason Thacker",976,1000,1
"Joao Pierini",976,1000,1
"Max Griffin",975,1080,17
"Carlos Hernandez",975,1030,6
"Michelle Waterson-Gomez",975,1000,15
"Abubakar Nurmagomedov",975,1032,4
"Benito Lopez",975,1000,4
"Marcelo Golm",975,1000,4
"Robert Whiteford",975,1033,5
"Tor Troeng",975,1000,4
"Henry Martinez",975,1003,3
"Justin Wren",975,1000,1
"Tim McKenzie",975,1000,1
"Steve Vigneault",975,1000,1
"Michael Johnson",974,1067,30
"Ivan Erslan",974,1000,1
"Alexander Munoz",974,1030,3
"Jeremy Stephens",974,1030,33
"Irwin Rivera",974,1000,3
"Nick Roehrick",974,1000,1
"Joe Riggs",974,1001,12
"Noad Lahat",974,1014,4
"Hayder Hassan",974,1000,2
"Bruno Korea",974,1000,1
"Mike Rio",974,1000,4
"Karlos Vemola",974,1004,6
"Dante Rivera",974,1000,1
"Rick Davis",974,1000,1
"Brian Gassaway",974,1000,1
"Bill Mahood",974,1000,1
"Mark Weir",974,1000,3
"Kelly Dullanty",974,1000,1
"Aaron Brink",974,1000,1
"Wes Albritton",974,1000,1
"Lucas Almeida",973,1003,5
"Clay Guida",973,1009,37
"Baergeng Jieleyisi",973,1000,1
"Jose Ochoa",973,1000,1
"Dusko Todorovic",973,1000,8
"Daniel Pineda",973,1000,13
"CJ Vergara",973,1008,7
"Junior Tafa",973,1045,5
"Blake Bilder",973,1000,3
"Kanako Murata",973,1000,3
"Jason Gonzalez",973,1000,4
"CB Dollaway",973,1017,20
"Christina Marks",973,1000,1
"Vagner Rocha",973,1000,4
"Chris Spang",973,1000,1
"Yasuhiro Urushitani",973,1000,2
"Jesse Bongfeldt",973,1000,1
"Alexandre Barros",973,1000,1
"Jorge Gurgel",973,1007,7
"Yuki Sasaki",973,1000,1
"James Zikic",973,1000,1
"Paul Creighton",973,1000,1
"Harold Howard",973,1000,3
"Anshul Jubli",972,1000,3
"Chad Anheliger",972,1000,5
"Chris Barnett",972,1026,5
"Blagoy Ivanov",972,1003,8
"Lando Vannata",972,1006,11
"Mickael Lebout",972,1000,3
"Colton Smith",972,1000,4
"Roger Gracie",972,1000,1
"Collin Hart",972,1000,1
"Chris Lytle",972,1152,20
"Antonio McKee",972,1000,1
"Josh Bryant",972,1000,1
"Jonathan Goulet",972,1010,9
"Jake Rosholt",972,1007,3
"Jason Dent",972,1008,4
"Brandon Melendez",972,1000,1
"Andy Wang",972,1000,1
"Jason Von Flue",972,1000,3
"Igor Zinoviev",972,1000,1
"Muin Gafurov",971,1057,4
"Jamall Emmers",971,1002,7
"Kai Kamaka",971,1000,3
"Jin Soo Son",971,1000,2
"George Sullivan",971,1000,7
"Joe Giannetti",971,1000,1
"Francisco Trevino",971,1000,3
"Clay Collard",971,1000,4
"Jianping Yang",971,1000,1
"John Teixeira",971,1000,1
"Chris Cope",971,1000,3
"Stephen Bass",971,1000,1
"Josh Shockman",971,1000,1
"Justin Eilers",971,1000,4
"Gil Castillo",971,1014,3
"Andrey Pulyaev",970,1000,1
"Guram Kutateladze",970,1000,5
"Djorden Santos",970,1000,1
"Julius Walker",970,1000,1
"Bruna Brasil",970,1007,5
"Colby Thicknesse",970,1000,1
"Kody Steele",970,1000,1
"Austin Bashi",970,1000,1
"Nicolle Caliari",970,1000,1
"Nyamjargal Tumendemberel",970,1000,1
"Michael Chandler",970,1000,6
"Roberto Romero",970,1000,1
"Cortavious Romious",970,1000,1
"Julian Erosa",970,1126,15
"Westin Wilson",970,1045,3
"Angel Pacheco",970,1000,1
"Bekzat Almakhan",970,1000,1
"Ravena Oliveira",970,1000,1
"Carlos Mota",970,1000,1
"Raulian Paiva",970,1047,7
"Kay Hansen",970,1000,4
"Justin Salas",970,1000,7
"Masanori Kanehara",970,1000,3
"Tom Watson",970,1000,7
"Niklas Backstrom",970,1000,3
"James Irvin",970,1017,10
"Chris Wilson",970,1000,4
"Charles McCarthy",970,1023,3
"Steve Byrnes",970,1000,1
"Bobby Southworth",970,1000,1
"Renato Verissimo",970,1000,3
"Alex Stiebling",970,1000,1
"Alex Andrade",970,1000,1
"Satoshi Honma",970,1000,1
"Brad Gumm",970,1000,1
"Carlos Barreto",970,1000,1
"Yuri Vaulin",970,1000,1
"Wallid Ismail",970,1000,1
"Rongzhu",969,1030,5
"Jessica Penne",969,1011,9
"Ode Osbourne",969,1000,10
"Matt Schnell",969,1049,13
"Steven Peterson",969,1028,8
"Alexander Yakovlev",969,1019,9
"Allen Crowder",969,1011,3
"Jay Cucciniello",969,1000,1
"Alex Nicholson",969,1000,4
"Cindy Dandois",969,1000,1
"CM Punk",969,1000,1
"Marcelo Guimaraes",969,1000,4
"Martin Svensson",969,1000,1
"Ron Stallings",969,1000,3
"Rodolfo Rubio Perez",969,1000,1
"Cody McKenzie",969,1022,7
"Jeff Hougland",969,1000,3
"Tom Egan",969,1000,1
"Josh Hendricks",969,1000,1
"Kerry Schall",969,1000,1
"Nick Agallar",969,1000,1
"John Matua",969,1000,1
"Josh Fremd",968,1025,6
"Cristian Quinonez",968,1000,3
"Hailey Cowan",968,1000,1
"Dwight Grant",968,1000,8
"Eric Spicely",968,1003,7
"Keith Berish",968,1000,1
"Matt Dwyer",968,1006,4
"Lewis Gonzalez",968,1000,1
"Louis Gaudinot",968,1022,4
"Jamie Varner",968,1016,9
"Daniel Spohn",968,1000,1
"Dave Galera",968,1000,1
"Mac Danzig",968,1000,13
"Mike Ricci",968,1004,3
"Anton Kuivanen",968,1004,3
"Milton Vieira",968,1000,1
"Antonio Banuelos",968,1000,1
"Willamy Freire",968,1000,1
"David Bielkheden",968,1001,3
"Lodune Sincaid",968,1000,1
"Romie Aram",968,1000,1
"Adrian Serrano",968,1000,1
"David Velasquez",968,1000,1
"Valeri Ignatov",968,1000,2
"Jason Fairn",968,1000,1
"Herbert Burns",967,1000,6
"Pedro Falcao",967,1000,1
"Steven Nguyen",967,1000,1
"Khusein Askhabov",967,1000,1
"Mounir Lazzez",967,1000,4
"Justine Kish",967,1000,7
"Sung Bin Jo",967,1000,1
"Jamie Moyle",967,1000,3
"Mark Godbeer",967,1023,4
"Francisco Rivera",967,1025,10
"Andreas Stahl",967,1000,2
"Humberto Brown Morrison",967,1000,1
"Guilherme Vasconcelos",967,1000,1
"Rosi Sexton",967,1000,2
"Brendan Loughnane",967,1000,1
"Walel Watson",967,1000,4
"Dustin Neace",967,1000,1
"Maciej Jewtuszko",967,1000,1
"Tyler Toner",967,1000,1
"Sako Chivitchian",967,1000,1
"Dale Hartt",967,1025,3
"Branden Lee Hinkle",967,1000,3
"Ronald Jhun",967,1000,1
"Nick Serra",967,1000,1
"Ray Wizard",967,1000,1
"Justin Tafa",966,1058,9
"Jose Daniel Medina",966,1000,1
"Parker Porter",966,1011,8
"Dean Barry",966,1000,1
"Emil Meek",966,1000,4
"Allan Zuniga",966,1000,1
"Mads Burnell",966,1004,3
"Alex Torres",966,1000,1
"Edwin Figueroa",966,1000,6
"Matt Lucas",966,1000,1
"Ryan McGillivray",966,1000,1
"Mark Scanlon",966,1000,1
"Tony Petarra",966,1000,1
"Cal Worsham",966,1015,3
"Ernie Verdicia",966,1000,1
"Ion Cutelaba",965,1079,17
"Joshua Weems",965,1000,1
"Curt Warburton",965,1003,3
"Mario Miranda",965,1009,4
"Julio Paulino",965,1000,2
"Denis Kang",965,1001,3
"Shane Primm",965,1000,1
"Alvin Robinson",965,1000,4
"Justin James",965,1000,1
"Josh Stuart",965,1000,1
"Vince Morales",964,1000,10
"Gabriel Miranda",964,1002,3
"Askar Mozharov",964,1000,1
"Raphael Pessoa",964,1000,3
"Devin Powell",964,1016,4
"Andrew Holbrook",964,1000,5
"Nathan Coy",964,1000,3
"Cory Hendricks",964,1000,1
"Abner Lloveras",964,1000,1
"Chuck O'Neil",964,1000,1
"Travis Fulton",964,1027,2
"Rainy Martinez",964,1000,1
"Ron van Clief",964,1000,1
"Damir Hadzovic",963,1002,10
"Josh Quinlan",963,1000,4
"Charles Rosa",963,1000,13
"Sasha Palatnikov",963,1000,3
"Yorgan De Castro",963,1000,4
"Sarah Moras",963,1000,9
"Melinda Fabian",963,1000,1
"Gasan Umalatov",963,1000,4
"Roger Narvaez",963,1000,3
"Marcos Vinicius",963,1000,3
"Josh Neer",963,1004,15
"Ronys Torres",963,1000,2
"Carmelo Marrero",963,1000,4
"Nate Schroeder",963,1000,1
"John Lober",963,1000,1
"John Dowdy",963,1000,1
"Andrea Lee",962,1000,14
"Bassil Hafez",962,1000,3
"Kamuela Kirk",962,1000,3
"Mandy Bohm",962,1030,3
"Luigi Vendramini",962,1003,4
"Andre Soukhamthath",962,1026,7
"Josh Stansbury",962,1000,3
"Yves Jabouin",962,1014,10
"Hans Stringer",962,1000,3
"Julie Kedzie",962,1000,2
"Peggy Morgan",962,1000,1
"Reuben Duran",962,1000,4
"Simeon Thoresen",962,1000,3
"Zhang Tiequan",962,1000,4
"Shane Roller",962,1000,6
"Denis Stojnic",962,1000,2
"John Marsh",962,1000,1
"Jack McGlaughlin",962,1000,1
"Sam Hughes",961,1076,10
"Robert Bryczek",961,1000,1
"SeungGuk Choi",961,1000,1
"Chris Gruetzemacher",961,1000,7
"Laureano Staropoli",961,1000,6
"Austin Springer",961,1000,1
"Roman Bogatov",961,1000,1
"Eric Shelton",961,1003,6
"Robert Sanchez",961,1014,3
"Azunna Anyanwu",961,1000,1
"Milana Dudieva",961,1000,3
"Caros Fodor",961,1000,1
"John Salter",961,1000,3
"Brian Cobb",961,1000,1
"Greg Stott",961,1000,1
"Abu Azaitar",960,1000,3
"John Allan",960,1000,2
"Shana Dobson",960,1005,6
"Ben Sosoli",960,1000,1
"Yui Chul Nam",960,1000,3
"Vik Grujic",960,1000,4
"Josh Clopton",960,1000,2
"Wanderlei Silva",960,1057,12
"Tom Blackledge",960,1000,1
"Kyle Bradley",960,1022,4
"Houston Alexander",960,1000,6
"Neil Wain",960,1000,1
"Cale Yarbrough",960,1000,1
"Jason Tan",960,1000,2
"Kristof Midoux",960,1000,1
"Joe Jordan",960,1000,1
"Ansar Chalangov",960,1000,2
"Andre Pederneiras",960,1000,1
"Frank Caracci",960,1000,1
"Tafon Nchukwi",959,1000,6
"Takashi Sato",959,1000,7
"Martin Bravo",959,1000,4
"Bibulatov Magomed",959,1000,3
"Kelly Faszholz",959,1000,2
"Maximo Blanco",959,1025,9
"Jose Maria",959,1000,2
"Ivan Serati",959,1000,1
"Alberta Cerra Leon",959,1000,1
"Johnny Munoz",958,1000,6
"Danny Chavez",958,1000,3
"Felipe Colares",958,1000,6
"Yoshinori Horie",958,1000,1
"Justin Frazier",958,1000,1
"Alvaro Herrera Mendoza",958,1000,4
"Frankie Perez",958,1002,4
"Ricardo Romero",958,1000,3
"Phil Baroni",958,1000,10
"Corey Hill",958,1000,3
"Sean Alvarez",958,1000,1
"Paul Herrera",958,1000,1
"Trent Jenkins",958,1000,1
"Don'Tale Mayes",957,1024,10
"Thomas Petersen",957,1000,3
"Karolina Kowalkiewicz",957,1076,18
"Nick Fiore",957,1000,2
"Rafael Alves",957,1000,4
"Steven Koslow",957,1000,1
"Mike Jackson",957,1000,3
"Deron Winn",957,1000,5
"Emily Whitmire",957,1000,6
"Vanessa Melo",957,1030,4
"Manvel Gamburyan",957,1033,14
"Alptekin Ozkilic",957,1000,4
"Mike King",957,1000,1
"Brian Houston",957,1000,2
"Sheila Gaff",957,1000,2
"DaMarques Johnson",957,1007,10
"Charlie Valencia",957,1000,1
"Fredson Paixao",957,1000,1
"Trevin Jones",956,1000,5
"Richie Smullen",956,1000,1
"Reginaldo Vieira",956,1000,3
"Leo Kuntz",956,1000,2
"Roger Zapata",956,1000,1
"Pat Schilling",956,1000,2
"Jesse Sanders",956,1000,1
"Stevie Lynch",956,1000,1
"Sean Salmon",956,1000,2
"Dokonjonosuke Mishima",956,1000,2
"Bob Gilstrap",956,1000,1
"Eugenio Tadeu",956,1000,1
"David Levicki",956,1000,1
"Diyar Nurgozhay",955,1000,1
"Josias Musasa",955,1000,1
"Yuneisy Duben",955,1000,1
"Nick Klein",955,1000,1
"Eric McConico",955,1000,1
"Billy Elekana",955,1000,1
"Kai Asakura",955,1000,1
"Kiru Sahota",955,1000,1
"Feng Xiaocan",955,1000,1
"Klaudia Sygula",955,1000,1
"Sean Sharaf",955,1000,1
"Robert Valentin",955,1000,1
"Mitch Ramirez",955,1000,1
"Aleksa Camur",955,1000,4
"Mike Grundy",955,1000,4
"Daniel Spitz",955,1000,4
"Adam Yandiev",955,1000,1
"Jeremy Kimball",955,1000,4
"Henry Briones",955,1000,5
"Damien Brown",955,1000,6
"Dominique Steele",955,1000,5
"Cody East",955,1000,2
"Scott Jorgensen",955,1000,12
"Josh Sampo",955,1000,4
"John Gunderson",955,1000,3
"Mario Neto",955,1000,1
"Rob MacDonald",955,1000,3
"Solomon Hutcherson",955,1000,1
"Icho Larenas",955,1000,1
"Keigo Kunihara",955,1000,1
"Wade Shipp",955,1000,1
"Chris Liguori",955,1000,1
"Gerald Strebendt",955,1000,1
"Leigh Remedios",955,1000,1
"David Roberts",955,1000,1
"Joey Roberts",955,1000,1
"Adriano Santos",955,1000,1
"Paulo Santos",955,1000,1
"Marcus Silveira",955,1000,1
"Saeed Hosseini",955,1000,1
"Eric Martin",955,1000,1
"Dieusel Berto",955,1000,1
"Matt Andersen",955,1000,1
"Francesco Maturi",955,1000,1
"Rudyard Moncayo",955,1000,1
"Andy Anderson",955,1000,1
"Thaddeus Luster",955,1000,1
"Felipe dos Santos",954,1000,4
"Manolo Zecchini",954,1000,1
"Tyson Nam",954,1010,8
"Duda Santana",954,1000,1
"Richard Walsh",954,1000,6
"Rin Nakai",954,1000,2
"Yosdenis Cedeno",954,1000,4
"Bentley Syler",954,1000,1
"Bart Palaszewski",954,1000,4
"Paul Bradley",954,1000,2
"Alexandre Ferreira",954,1000,1
"Matt Horwich",954,1000,2
"Scott Smith",954,1000,4
"Sherman Pendergarst",954,1000,1
"Crafton Wallace",954,1000,2
"Tra Telligman",954,1000,5
"Townsend Saunders",954,1000,2
"Kevin Rosier",954,1000,1
"Veronica Hardy",953,1067,9
"Yana Santos",953,1030,10
"AJ Fletcher",953,1025,4
"Alessio Di Chirico",953,1015,11
"Liliya Shakirova",953,1000,1
"Ben Askren",953,1000,3
"Filip Pejic",953,1000,1
"Renee Forte",953,1000,4
"Steve Lopez",953,1000,2
"Ryo Chonan",953,1000,4
"James Lee",953,1000,1
"Flavio Luiz Moura",953,1000,1
"Chris Condo",953,1000,1
"Brian Johnston",953,1000,6
"Todd Butler",953,1000,1
"Julian Sanchez",953,1000,1
"John Campetella",953,1000,1
"Francisco Prado",952,1000,4
"Gadzhi Omargadzhiev",952,1000,2
"Matt Sayles",952,1000,4
"Ryan Benoit",952,1011,9
"Jordan Griffin",952,1000,5
"Eduardo Garagorri",952,1000,3
"Michel Batista",952,1000,1
"Jonathan Wilson",952,1000,4
"Daniel Jolly",952,1000,2
"Alan Omer",952,1000,2
"Hernani Perpetuo",952,1000,2
"Albert Cheng",952,1000,1
"Joao Zeferino",952,1000,2
"Danny Downes",952,1000,2
"James Toney",952,1000,1
"Jamie Yager",952,1000,1
"Frank Lester",952,1000,1
"James Giboo",952,1000,1
"Richie Hightower",952,1000,1
"Jeff Newton",952,1000,1
"Jermaine Andre",952,1000,1
"Dmitri Stepanov",952,1000,1
"Jim Mullen",952,1000,1
"Dave Berry",952,1000,1
"Koji Kitao",952,1000,1
"Jai Herbert",951,1035,8
"Daniel Barez",951,1000,3
"Jared Gooden",951,1022,7
"Lucas Rocha",951,1000,1
"Zygimantas Ramaska",951,1000,1
"Stewart Nicoll",951,1000,1
"Abdul-Kareem Al-Selwady",951,1000,1
"Shane Young",951,1000,7
"Maria Oliveira",951,1000,4
"Darrick Minner",951,1000,6
"Cortney Casey",951,1007,15
"Callan Potter",951,1000,3
"Yusuke Kasuya",951,1000,2
"Wendell Oliveira Marques",951,1000,2
"Rodrigo de Lima",951,1000,2
"Jay Silva",951,1000,2
"Dorian Price",951,1000,1
"Moti Horenstein",951,1000,2
"Christophe Leninger",951,1000,2
"Keith Mielke",951,1000,1
"Gerry Harris",951,1000,1
"Asbel Cancio",951,1000,1
"Melton Bowen",951,1000,1
"Emmanuel Yarborough",951,1000,1
"Cody Gibson",950,1035,9
"Ariane da Silva",950,1056,13
"Toshiomi Kazama",950,1045,3
"Kleydson Rodrigues",950,1000,4
"Michal Figlak",950,1000,2
"Landon Quinones",950,1000,2
"Kyle Daukaus",950,1000,6
"Shanna Young",950,1025,4
"Gabriel Silva",950,1000,2
"Bobby Moffett",950,1000,2
"Sultan Aliev",950,1030,4
"David Branch",950,1000,9
"Austin Arnett",950,1000,4
"Geane Herrera",950,1000,4
"Justin Jones",950,1000,2
"Chael Sonnen",950,1068,14
"Nandor Guelmino",950,1000,1
"Ryan Couture",950,1000,2
"Gilbert Smith",950,1000,1
"Manuel Rodriguez",950,1000,1
"Mike Lullo",950,1000,2
"Danillo Villefort",950,1000,1
"Jules Bruchez",950,1000,1
"Paul Georgieff",950,1000,1
"Fabiano Scherner",950,1000,2
"Lowell Anderson",950,1000,1
"Jackie Lee",950,1000,1
"Zane Frazier",950,1000,1
"Ryan Parker",950,1000,1
"He-Man Gipson",950,1000,1
"Sean Daugherty",950,1000,1
"Zachary Scroggin",949,1000,1
"Tamires Vidal",949,1000,4
"Austin Hubbard",949,1005,10
"Luis Pajuelo",949,1000,1
"Andre Fialho",949,1000,7
"Roxanne Modafferi",949,1000,12
"Trevor Smith",949,1000,12
"Leonardo Guimaraes",949,1000,2
