"Fighter","Elo","PeakElo","Matches"
"Elizabeth Phillips",949,1015,4
"Daniel Sarafian",949,1000,6
"Jessica Rakoczy",949,1000,2
"Izabela Badurek",949,1000,1
"Marcin Bandel",949,1000,2
"Marcus LeVesseur",949,1000,3
"Anistavio Medeiros",949,1000,1
"Bernardo Magalhaes",949,1000,2
"Greg Soto",949,1000,3
"Vinicius Queiroz",949,1000,1
"Cameron Dollar",949,1000,1
"Neil Grove",949,1000,1
"Doug Evans",949,1000,2
"Jared Rollins",949,1000,1
"Zach Light",949,1000,1
"Rodrigo Ruas",949,1000,1
"Houston Dorr",949,1000,1
"David Hood",949,1000,1
"Fred Ettish",949,1000,1
"Robert Lucarelli",949,1000,1
"Victor Altamirano",948,1000,6
"Braxton Smith",948,1000,1
"Eddie Wineland",948,1006,16
"Kevin Aguilar",948,1000,6
"Carlton Minus",948,1000,2
"Rostem Akman",948,1000,2
"Derrick Krantz",948,1000,2
"Michel Quinones",948,1000,2
"Seo Hee Ham",948,1000,4
"Tom Niinimaki",948,1000,4
"Luke Zachrich",948,1000,3
"Jimmy Quinlan",948,1000,1
"Eric Wisely",948,1000,2
"Renzo Gracie",948,1000,1
"Darrill Schoonover",948,1000,1
"Ryan Madigan",948,1000,1
"Chris Price",948,1000,2
"Cory Walmsley",948,1000,1
"Kristian Rothaermel",948,1000,1
"Paul Rodriguez",948,1000,1
"Masutatsu Yano",948,1000,1
"Joe Pardo",948,1000,1
"Courtney Turner",948,1000,1
"Donnie Chappell",948,1000,1
"Ricky Glenn",947,1000,10
"Ji Yeon Kim",947,1000,10
"Mara Romero Borella",947,1000,7
"Brok Weaver",947,1000,3
"Chris Fishgold",947,1000,4
"Maia Stevenson",947,1000,1
"Chan-Mi Jeon",947,1000,2
"Larissa Pacheco",947,1000,2
"Shane Howell",947,1000,2
"Charlie Brenneman",947,1000,11
"Michael Kuiper",947,1000,4
"Rolles Gracie",947,1000,1
"Andre Gusmao",947,1000,2
"Derek Downey",947,1000,1
"John Kolosci",947,1000,1
"Scott Junk",947,1000,1
"SeungWoo Choi",946,1006,11
"Alice Ardelean",946,1000,2
"Yizha",946,1000,2
"Silvana Gomez Juarez",946,1009,4
"Andreas Michailidis",946,1000,4
"Mallory Martin",946,1000,4
"Mark De La Rosa",946,1000,7
"Kyle Bochniak",946,1000,7
"Joey Gomez",946,1000,2
"Anthony Christodoulou",946,1000,2
"Leonardo Morales",946,1000,2
"Alexis Dufresne",946,1000,2
"Motonobu Tezuka",946,1000,2
"Josh Rafferty",946,1000,1
"Phil Johns",946,1000,1
"Eldo Xavier Dias",946,1000,1
"Scott Baker",946,1000,1
"Mariya Agapova",945,1000,6
"Marnic Mann",945,1000,2
"Max Rohskopf",945,1000,1
"Juan Adams",945,1000,4
"Nohelin Hernandez",945,1000,2
"Ricky Rainey",945,1000,2
"Artem Lobov",945,1000,7
"Sam Sicilia",945,1000,12
"Ernest Chavez",945,1000,3
"Eddie Mendez",945,1000,1
"Adam Cella",945,1000,1
"Colin Fletcher",945,1000,2
"Ulysses Gomez",945,1000,2
"John Polakowski",945,1000,1
"Kuniyoshi Hironaka",945,1000,4
"Ryan Roberts",945,1000,1
"Chad Reiner",945,1000,2
"Roland Payne",945,1000,1
"Sumudaerji",944,1000,7
"Jeka Saragih",944,1000,3
"Val Woodburn",944,1000,2
"Martin Sano",944,1000,1
"Luan Chagas",944,1000,3
"Patrick Williams",944,1000,4
"Carls John De Tomas",944,1000,2
"Igor Pokrajac",944,1012,12
"James Head",944,1000,5
"Dan Stittgen",944,1000,2
"Kamal Shalorus",944,1000,3
"Aaron Wilkinson",944,1000,1
"Nate Mohr",944,1000,4
"Mike Wessel",944,1000,1
"Terry Martin",944,1047,6
"Sean Gannon",944,1000,1
"Joe Son",944,1000,1
"Elise Reed",943,1030,8
"Liana Jojua",943,1000,4
"Jacob Kilburn",943,1000,2
"Peter Barrett",943,1000,2
"Darrell Horcher",943,1000,4
"Craig White",943,1000,2
"Ariel Beck",943,1000,1
"Will Brooks",943,1000,4
"Elvis Mutapcic",943,1000,2
"Chris Avila",943,1000,2
"Antonio Silva",943,1000,10
"Sean Spencer",943,1000,8
"Kazuki Tokudome",943,1000,4
"Roger Hollett",943,1000,2
"Jason Young",943,1000,4
"Wagner Campos",943,1000,1
"Luis Ramos",943,1000,2
"Jason Miller",943,1000,3
"Dan Evensen",943,1000,2
"Allen Berube",943,1000,1
"David Dodd",943,1000,2
"Harry Moskowitz",943,1000,2
"Orion Cosce",942,1000,3
"Randa Markos",942,1030,17
"Luke Sanders",942,1000,8
"Junior Albini",942,1000,5
"Cristina Stanciu",942,1000,2
"Enrique Marin",942,1000,2
"Vernon Ramos Ho",942,1000,1
"Jack May",942,1000,2
"Clay Harvison",942,1000,3
"Amilcar Alves",942,1000,2
"Chase Gormley",942,1000,2
"Tommy Speer",942,1000,2
"Dave Menne",942,1000,6
"Scott Fiedler",942,1000,1
"Victor Rodriguez",941,1000,2
"Sarah Frota",941,1000,2
"Matthew Lopez",941,1000,6
"Hector Lombard",941,1000,11
"Alex Ricci",941,1000,2
"Alberto Uda",941,1000,2
"Anthony Perosh",941,1079,12
"Bubba Bush",941,1000,1
"Jessamyn Duke",941,1000,4
"Tim Gorman",941,1000,2
"Pat Barry",941,1000,12
"Christian Morecraft",941,1000,4
"Chris Tuchscherer",941,1000,4
"Pat Audinwood",941,1000,2
"Reese Andy",941,1000,2
"Jarno Errens",940,1000,4
"Carlos Candelario",940,1000,2
"Walt Harris",940,1058,15
"Matt Bessette",940,1000,2
"Anna Elmose",940,1000,2
"Yoshihiro Akiyama",940,1003,7
"Luiz Dutra",940,1000,2
"Richardson Moreira",940,1000,2
"Tom DeBlass",940,1000,2
"Steve Berger",940,1000,2
"Jose Johnson",939,1000,4
"Jordan Wright",939,1000,7
"Drako Rodriguez",939,1000,2
"Rob Wilkinson",939,1000,2
"Karine Gevorgyan",939,1000,1
"Pearl Gonzalez",939,1000,2
"Joseph Gigliotti",939,1000,2
"Mark Eddiva",939,1000,4
"Ericka Almeida",939,1000,2
"Eddie Gordon",939,1000,4
"Phil Harris",939,1000,4
"Anthony Lapsley",939,1000,2
"Alessio Sakara",939,1029,14
"Jorge Santiago",939,1000,6
"Cole Escovedo",939,1000,3
"Jeff Cox",939,1000,2
"Keiichiro Yamamiya",939,1000,1
"Hugo Duarte",939,1000,1
"Dennis Buzukja",938,1010,4
"Saimon Oliveira",938,1000,2
"Gian Villante",938,1000,18
"Ali AlQaisi",938,1000,2
"Peter Sobotta",938,1033,10
"Tarec Saffiedine",938,1000,6
"Jonavin Webb",938,1000,2
"William Macario",938,1000,4
"Leonard Garcia",938,1000,9
"Forrest Petz",938,1000,7
"Reza Nasri",938,1000,1
"Montserrat Conejo Ruiz",937,1000,4
"Miranda Granger",937,1000,4
"Bruno Souza",937,1000,2
"Suman Mokhtarian",937,1000,2
"Danilo Belluardo",937,1000,2
"Ryan MacDonald",937,1000,2
"Wulijiburen",937,1000,3
"Bec Rawlings",937,1000,7
"Marcio Alexandre Junior",937,1000,3
"Cain Carrizosa",937,1000,2
"Danny Mitchell",937,1000,2
"Kazuhiro Nakamura",937,1000,2
"John Halverson",937,1000,2
"AJ Cunningham",936,1000,2
"Marc-Andre Barriault",936,1016,13
"Timmy Cuamba",936,1000,2
"Rayanne dos Santos",936,1000,2
"Anderson Dos Santos",936,1003,4
"Viktor Pesta",936,1000,5
"Nolan Ticman",936,1000,2
"Josh Copeland",936,1000,2
"Dashon Johnson",936,1000,2
"Cristiano Marcello",936,1000,4
"Yuri Villefort",936,1000,2
"Jared Hamman",936,1000,7
"CJ Keith",936,1000,2
"Lucio Linhares",936,1000,2
"Ryan Thomas",936,1000,2
"Brad Morris",936,1000,2
"Jason Black",936,1000,2
"Assuerio Silva",936,1000,3
"Kevin Borjas",935,1000,2
"Zac Pauga",935,1000,4
"Liudvik Sholinian",935,1000,2
"Kyle Prepolec",935,1000,2
"Terrion Ware",935,1000,4
"Michael McBride",935,1000,2
"Brad Pickett",935,1000,14
"Brendan O'Reilly",935,1000,4
"Cody Pfister",935,1000,4
"Jorge de Oliveira",935,1000,2
"Frank Camacho",934,1000,8
"Mike Rodriguez",934,1000,7
"Thomas Gifford",934,1000,2
"Teemu Packalen",934,1000,4
"Humberto Bandenay",934,1000,4
"Carlo Pedersoli Jr.",934,1000,3
"Te Edwards",934,1000,2
"Jenel Lausa",934,1000,4
"JC Cottrell",934,1000,2
"Anton Zafir",934,1000,2
"Konstantin Erokhin",934,1000,2
"Brock Jardine",934,1000,2
"Bobby Hoffman",934,1000,2
"Kaan Ofli",933,1000,2
"Tuco Tokkos",933,1000,2
"Nadia Kassem",933,1000,3
"Jessica Aguilar",933,1000,5
"Oluwale Bamgbose",933,1000,5
"Wagner Silva",933,1000,2
"Ednaldo Oliveira",933,1000,2
"Joe Brammer",933,1000,2
"David Lee",933,1000,2
"Victor Valimaki",933,1000,2
"Dan Argueta",932,1000,4
"Jesse Butler",932,1000,2
"Kazula Vargas",932,1003,4
"Domingo Pilarte",932,1000,2
"Stefan Sekulic",932,1000,2
"Charles Byrd",932,1000,4
"Joshua Burkman",932,1000,18
"Kwan Ho Kwak",932,1000,2
"Jason Novelli",932,1000,2
"Shayna Baszler",932,1000,2
"Mats Nilsson",932,1000,2
"Azamat Gashimov",932,1000,2
"Alex Soto",932,1000,2
"Jason Gilliam",932,1000,2
"Amar Suloev",932,1000,2
"Tucker Lutz",931,1000,4
"Talita Bernardo",931,1000,4
"Elias Garcia",931,1000,2
"Joey Gambino",931,1000,2
"Michihiro Omigawa",931,1000,7
"Nick Aguirre",930,1000,2
"Guido Cannetti",930,1058,10
"Dalcha Lungiambula",930,1000,7
"Kris Moutinho",930,1000,2
"Micheal Gillmore",930,1000,2
"Antonio Arroyo",930,1000,3
"Sarah Alpar",930,1000,2
"Jessin Ayari",930,1000,4
"Syuri Kondo",930,1000,4
"Sean O'Connell",930,1005,7
"Willie Gates",930,1000,4
"Jorge Lopez",930,1000,2
"Justin Buchholz",930,1000,5
"Quang Le",929,1000,2
"Rachael Ostovich",929,1000,4
"Anthony Hamilton",929,1000,10
"Mehdi Baghdad",929,1000,2
"Dileno Lopes",929,1000,2
"Paul Redmond",929,1000,2
"Shane del Rosario",929,1000,2
"Mark Holst",929,1000,2
"David Kaplan",929,1000,2
"Elvis Sinosic",929,1000,7
"Gilbert Aldana",929,1000,2
"Kevin Jordan",929,1000,2
"Mohammad Yahya",928,1000,2
"AJ Dobson",928,1000,4
"Mark Striegl",928,1000,2
"Lauren Mueller",928,1000,4
"Kyle Stewart",928,1000,2
"Danny Martinez",928,1030,4
"Quinn Mulhern",928,1000,2
"Josh Ferguson",928,1000,2
"Travis Wiuff",928,1000,2
"Kyle Nelson",927,1055,9
"Luan Lacerda",927,1000,2
"Randy Costa",927,1000,6
"Barb Honchak",927,1000,2
"Richie Vaculik",927,1000,4
"Josh Shockley",927,1000,2
"Juan Manuel Puig",927,1000,2
"Ramiro Hernandez",927,1000,2
"Aaron Riley",927,1000,9
"Todd Brown",927,1000,2
"Tim Hague",927,1000,5
"Diego Saraiva",927,1000,3
"Hector Ramirez",927,1000,2
"Jordan Vucenic",926,1000,2
"Charalampos Grigoriou",926,1000,2
"Joseph Holmes",926,1000,4
"Brogan Walker",926,1000,2
"Jessica Eye",926,1004,15
"Gaetano Pirrello",926,1000,2
"Vince Cachero",926,1000,2
"Carlos Huachin",926,1000,2
"Marcos Mariano",926,1000,2
"Mike de la Torre",926,1000,6
"Jerrod Sanders",926,1000,3
"Matt Van Buren",926,1000,2
"Sammy Morgan",926,1000,2
"Kimo Leopoldo",926,1007,6
"Nikolay Veretennikov",925,1000,2
"Angela Hill",925,1090,27
"Claudio Ribeiro",925,1000,4
"Dan Moret",925,1000,3
"Joe Soto",925,1053,8
"Jocelyn Jones-Lybarger",925,1000,3
"Tateki Matsuda",925,1000,2
"Jeff Curran",925,1000,3
"Aaron Rosa",925,1000,3
"Edwin DeWees",925,1000,3
"Jeremy Jackson",925,1000,2
"Sam Fulton",925,1000,2
"Preston Parsons",924,1000,6
"Tim Elliott",924,1074,20
"Collin Anglin",924,1000,2
"Mizuto Hirota",924,1000,6
"James Bochnovic",924,1000,2
"Bobby Nash",924,1000,3
"Ashkan Mokhtarian",924,1000,2
"Fabricio Camoes",924,1000,5
"Chad Griggs",924,1000,2
"Samy Schiavo",924,1000,2
"Cameron Else",923,1000,2
"Hannah Cifers",923,1000,7
"Grigory Popov",923,1000,2
"Charlie Ward",923,1000,2
"Steve Montgomery",923,1000,2
"Isaac Vallie-Flagg",923,1000,4
"Wagner Prado",923,1000,2
"Tommy Hayden",923,1000,2
"Alberto Crane",923,1000,2
"Jordan Radev",923,1000,2
"Ross Pointon",923,1000,2
"Devin Clark",922,1000,17
"Jay Perrin",922,1000,3
"Jordan Espinosa",922,1000,6
"Mike Santiago",922,1000,3
"Oliver Enkamp",922,1000,2
"Lukasz Sajewski",922,1000,3
"Roman Salazar",922,1000,2
"Mike Stumpf",922,1000,2
"Donny Walker",922,1000,2
"Pete Sell",922,1000,7
"Joe Veres",922,1000,2
"Danny Abbadi",922,1000,2
"Antonio Trocoli",921,1000,2
"Jesse Strader",921,1000,2
"David Zawada",921,1000,5
"Darren Stewart",921,1068,12
"Garreth McLellan",921,1000,5
"Mike Guymon",921,1000,4
"Rodney Wallace",921,1000,3
"Michael Patt",921,1000,2
"Luke Caudillo",921,1000,2
"Koji Oishi",921,1000,2
"Curtis Stout",921,1000,2
"Tim Lajcik",921,1000,2
"Lucas Alexander",920,1000,4
"Don Shainis",920,1000,2
"KB Bhullar",920,1000,2
"Yao Zhikui",920,1000,4
"Fernando Bruno",920,1000,2
"Rafael Cavalcante",920,1000,5
"Dave Herman",920,1000,5
"Yoislandy Izquierdo",920,1000,2
"Norifumi Yamamoto",920,1000,3
"Edward Faaloloto",920,1000,2
"Xavier Foupa-Pokam",920,1000,2
"Lina Lansberg",919,1000,11
"Darian Weeks",919,1000,3
"Bevon Lewis",919,1000,4
"Rolando Dy",919,1000,4
"Horacio Gutierrez",919,1000,2
"Steve Kennedy",919,1000,2
"Guto Inocente",919,1000,2
"Bristol Marunde",919,1000,2
"Eiji Mitsuoka",919,1000,2
"Steve Cantwell",919,1000,6
"Caio Machado",918,1000,3
"Victor Martinez",918,1000,2
"TJ Brown",918,1002,8
"Brian Camozzi",918,1000,3
"Marcin Held",918,1039,4
"Emily Kagan",918,1000,2
"Jon Delos Reyes",918,1001,4
"Gilbert Yvel",918,1000,3
"Brodie Farber",918,1000,2
"Brad Imes",918,1000,3
"Wes Combs",918,1000,2
"Kurt Holobaugh",917,1022,8
"Kiefer Crosbie",917,1000,2
"Kaynan Kruschewsky",917,1000,2
"Yohan Lainesse",917,1000,4
"Carl Deaton",917,1000,2
"Alex Da Silva",917,1000,4
"TJ Laramie",917,1000,2
"Dakota Bush",917,1000,2
"Anthony Ivy",917,1000,2
"Roldan Sangcha'an",917,1000,2
"Steve Steinbeiss",917,1000,2
"Brandon Jenkins",916,1000,2
"Andy Ogle",916,1000,6
"Mike Brown",916,1000,6
"Wes Sims",916,1000,3
"Larry Cureton",916,1000,2
"James Llontop",915,1000,3
"Brendon Marotte",915,1000,2
"Terrence Mitchell",915,1000,2
"Khalid Taha",915,1000,5
"Gloria de Paula",915,1000,4
"Andy Enz",915,1000,3
"Chris Heatherly",915,1000,2
"Ryan Jensen",915,1000,8
"Rob Yundt",915,1000,2
"Colin Robinson",915,1000,2
"Zhalgas Zhumagulov",914,1000,7
"Jamey Simmons",914,1000,2
"Joachim Christensen",914,1000,4
"Jim Wallhead",914,1000,2
"Roger Bowling",914,1000,2
"Vinny Magalhaes",914,1000,5
"Byron Bloodworth",914,1000,2
"Yanis Ghemmouri",913,1000,2
"Rhys McKee",913,1000,4
"Wellington Turman",913,1000,9
"Louis Cosce",913,1000,2
"Anthony Birchak",913,1000,6
"Mike Rhodes",913,1000,3
"Chris Indich",913,1000,2
"Besam Yousef",913,1000,2
"Steve Judson",913,1000,2
"Connor Matthews",912,1000,2
"Mike Breeden",912,1039,4
"Jake Collier",912,1000,14
"Tim Williams",912,1000,2
"Mitch Clarke",912,1000,7
"Razak Al-Hassan",912,1000,2
"Brandon Wolff",912,1000,2
"Rolando Bedoya",911,1000,3
"Josh Parisian",911,1000,7
"Roque Martinez",911,1000,3
"Dominic Waters",911,1000,3
"George Roop",911,1008,13
"Oli Thompson",911,1000,2
"Mike Massenzio",911,1000,7
"Yoji Anjo",911,1000,3
"Rafael Cerqueira",910,1000,2
"Zelim Imadaev",910,1000,3
"Chris Dempsey",910,1000,4
"Justin Edwards",910,1000,7
"Iliarde Santos",910,1000,3
"Dan Lauzon",910,1000,3
"Victoria Leonardo",909,1000,5
"Yusaku Kinoshita",909,1000,2
"Kevin Casey",909,1000,4
"Darrell Montague",909,1000,3
"Ben Wall",909,1000,2
"Matt Grice",909,1010,7
"Josh Haynes",909,1000,3
"Alexandre Dantas",909,1000,2
"Royce Alger",909,1000,2
"Dustin Stoltzfus",908,1048,8
"Lucie Pudilova",908,1000,11
"Aalon Cruz",908,1000,2
"Salim Touahri",908,1000,3
"Cesar Arzamendia",908,1000,2
"Garett Whiteley",908,1000,3
"TJ O'Brien",908,1000,2
"Juancamilo Ronderos",907,1000,2
"Fabio Cherant",907,1000,3
"Patrick Cote",907,1080,21
"Antonio Dos Santos",907,1000,2
"Jon Olav Einemo",907,1000,2
"Antonio Mendes",907,1000,2
"Rashad Coulter",906,1027,4
"Johnny Rees",906,1000,2
"Hannah Goldy",905,1000,5
"Angela Magana",905,1000,3
"Lisa Ellis",905,1000,2
"Mostapha Al-Turk",905,1000,3
"Joe Vedepo",905,1000,2
"Marcin Prachnio",904,1046,10
"Mateus Mendonca",904,1000,3
"Genaro Valdez",904,1000,3
"Jordan Williams",904,1000,3
"Shane Campbell",904,1000,5
"Jake Lindsey",904,1000,3
"Gabe Ruediger",904,1000,3
"Joe Doerksen",904,1000,9
"Alex Caceres",903,1140,29
"Erik Silva",903,1000,2
"Blood Diamond",903,1000,3
"Takenori Sato",903,1000,2
"Edilberto de Oliveira",903,1000,2
"Jason Godsey",903,1000,2
"Dong Hyun Ma",902,1003,8
"Chris de la Rocha",902,1000,4
"Joby Sanchez",902,1000,5
"Jesse Forbes",902,1000,3
"Alex Reyes",901,1000,3
"Cameron VanCamp",901,1000,2
"Ray Rodriguez",901,1000,2
"Leonardo Mafra",901,1000,4
"Darrius Flowers",900,1000,3
"Kevin Croom",900,1000,3
"Gilbert Melendez",900,1000,7
"Nick Penner",900,1000,2
"Dylan Budka",899,1000,3
"Jason Witt",899,1000,6
"Joseph Sandoval",899,1000,2
"Gideon Ray",899,1000,3
"Austen Lane",898,1000,4
"Dhiego Lima",898,1048,11
"Albert Morales",898,1000,5
"John Cofer",898,1000,2
"Kris McCray",898,1000,3
"Malcolm Gordon",897,1000,7
"Charlie Ontiveros",897,1000,3
"Hu Yaozong",897,1000,3
"Christian Colombo",897,1000,2
"Jeremy Larsen",897,1000,3
"Papy Abedi",897,1000,4
"John Albert",897,1000,5
"Ihor Potieria",896,1000,8
"Diana Belbita",896,1000,7
"Zarrukh Adashev",896,1000,4
"Niklas Stolze",896,1000,3
"Justin Jaynes",896,1000,5
"Damian Grabowski",896,1000,3
"Rafaello Oliveira",896,1000,8
"Justin Levens",896,1000,2
"Ashley Yoder",895,1000,11
"JP Buys",895,1000,4
"Brandon Davis",895,1000,9
"Wu Yanan",895,1000,6
"Alex Chambers",895,1000,5
"Sabah Homasi",895,1000,3
"Bojan Mihajlovic",895,1000,3
"Alan Baudot",894,1000,3
"Cole Williams",894,1000,2
"Jeff Hughes",894,1000,3
"Boston Salmon",894,1000,2
"Tonya Evinger",894,1000,3
"David Mitchell",894,1000,5
"Josh Grispi",893,1000,4
"Jay Hieron",893,1000,4
"Damacio Page",893,1000,3
"Marvin Eastman",893,1000,5
"Fernie Garcia",892,1000,4
"Marcelo Rojo",892,1000,3
"Saparbeg Safarov",892,1001,4
"Jodie Esquibel",892,1000,4
"Bobby Voelker",892,1000,4
"Daiju Takase",892,1000,3
"Journey Newson",891,1000,5
"Ramona Pascual",891,1000,3
"John Phillips",891,1000,6
"Estevan Payan",890,1000,3
"Jared Papazian",890,1000,3
"Felix Lee Mitchell",890,1000,3
"Denis Tiuliulin",889,1000,6
"Vinicius Salvador",889,1000,3
"Kevin Natividad",889,1000,3
"Khadis Ibragimov",889,1000,4
"Thibault Gouti",889,1010,6
"Will Campuzano",889,1000,4
"Lukasz Brzeski",888,1000,6
"Kalindra Faria",888,1000,3
"Erick Gonzalez",887,1000,3
"Daniel Teymur",886,1000,5
"Tiki Ghosn",886,1000,4
"Jesse Ronson",885,1000,5
"Takanori Gomi",884,1000,13
"Nam Phan",884,1000,8
"Hector Aldana",883,1000,3
"Harry Hunsucker",882,1000,3
"Dustin Pague",882,1000,6
"Ruan Potts",881,1000,3
"Pat Healy",880,1000,5
"Shannon Ross",879,1000,3
"Jinh Yu Frey",879,1000,8
"Jumabieke Tuerxun",879,1000,3
"John Alessio",879,1000,5
"Ricardo Funch",879,1000,4
"Denys Bondar",878,1000,3
"Aaron Phillips",878,1000,4
"Jason Reinhardt",876,1000,3
"Anton Turkalj",874,1000,4
"Dmitrii Smoliakov",874,1000,3
"Zarah Fairn",873,1000,4
"Maki Pitolo",872,1000,6
"Vinicius Moreira",872,1000,4
"Martin Day",871,1000,4
"Julija Stoliarenko",870,1007,8
"Keith Wisniewski",869,1000,4
"Seth Petruzelli",864,1000,4
"Alen Amedovski",861,1000,4
"Phillipe Nover",861,1000,7
"Kailin Curran",860,1000,7
"Istela Nunes",858,1000,4
"Jared Vanderaa",858,1000,7
"Gina Mazany",858,1000,8
"Naoyuki Kotani",856,1000,5
"Liang Na",852,1000,4
"Sean Soriano",850,1000,5
"Edgar Garcia",846,1000,4
"Dequan Townsend",843,1000,4
"Ike Villanueva",842,1000,6
"Chase Sherman",838,1000,15
"Jerome Rivera",837,1000,4
"Jamie Pickett",834,1000,9
"Daniel Lacerda",813,1000,5